year_id,location_name,mean_final,lower_final,upper_final,proportion,age_group_id,metric_id,measure_id,age_group_name,metric_name
1993,Sub-Saharan Africa,6688.535317,4751.592621,8775.290875,3.109626532,22,1,6,all ages,count space
1993,"Central Europe, Eastern Europe, and Central Asia",4.87753311,4.423783225,5.364517238,,27,3,6,age-standardized,rate space
1993,Global,4.344764592,3.645133783,5.132442744,,27,3,6,age-standardized,rate space
1993,High-income,6.37787183,5.358089344,7.912128177,,27,3,6,age-standardized,rate space
1993,Latin America and Caribbean,3.661715905,3.26775623,4.184183266,,27,3,6,age-standardized,rate space
1993,North Africa and Middle East,6.159665246,4.554178985,8.490372482,,27,3,6,age-standardized,rate space
1993,South Asia,1.901477238,1.360703216,2.433693046,,27,3,6,age-standardized,rate space
1993,"Southeast Asia, East Asia, and Oceania",4.520100418,3.27338346,5.671964008,,27,3,6,age-standardized,rate space
1993,Sub-Saharan Africa,1.358804966,0.942112846,1.772847771,,27,3,6,age-standardized,rate space
1994,"Central Europe, Eastern Europe, and Central Asia",22752.8666,20756.53002,24871.69411,10.32818989,22,1,6,all ages,count space
1994,Global,220298.6859,180830.4834,261583.1795,100,22,1,6,all ages,count space
1994,High-income,70593.18455,59948.74224,87346.98522,32.04430579,22,1,6,all ages,count space
1994,Latin America and Caribbean,12590.09217,11038.05157,14729.31348,5.715010109,22,1,6,all ages,count space
1994,North Africa and Middle East,17150.95626,12258.6767,23029.28499,7.78531937,22,1,6,all ages,count space
1994,South Asia,19153.84627,13773.51087,24693.19684,8.69448957,22,1,6,all ages,count space
1994,"Southeast Asia, East Asia, and Oceania",71202.29443,50060.64925,89553.46551,32.32079853,22,1,6,all ages,count space
1994,Sub-Saharan Africa,6855.445611,4792.445181,8870.039071,3.111886747,22,1,6,all ages,count space
1994,"Central Europe, Eastern Europe, and Central Asia",4.968321457,4.518543671,5.449595108,,27,3,6,age-standardized,rate space
1994,Global,4.379685905,3.648553333,5.16734703,,27,3,6,age-standardized,rate space
1994,High-income,6.467485065,5.461286084,8.137439849,,27,3,6,age-standardized,rate space
1994,Latin America and Caribbean,3.68025961,3.262738815,4.225806335,,27,3,6,age-standardized,rate space
1994,North Africa and Middle East,6.179842126,4.554696088,8.61794903,,27,3,6,age-standardized,rate space
1994,South Asia,1.904113473,1.360469015,2.445624614,,27,3,6,age-standardized,rate space
1994,"Southeast Asia, East Asia, and Oceania",4.549012166,3.248484857,5.725315466,,27,3,6,age-standardized,rate space
1994,Sub-Saharan Africa,1.36565117,0.960731143,1.782622226,,27,3,6,age-standardized,rate space
1995,"Central Europe, Eastern Europe, and Central Asia",23079.07569,21067.02876,25259.72707,10.24722484,22,1,6,all ages,count space
1995,Global,225222.6925,183649.9791,268610.7771,100,22,1,6,all ages,count space
1995,High-income,72398.17855,60973.5442,87802.06573,32.14515276,22,1,6,all ages,count space
1995,Latin America and Caribbean,13083.19659,11501.88322,15209.39252,5.809004611,22,1,6,all ages,count space
1995,North Africa and Middle East,17501.18791,12301.39758,23072.57438,7.770614817,22,1,6,all ages,count space
1995,South Asia,19650.72115,13832.94407,25448.87515,8.725018308,22,1,6,all ages,count space
