age_group_id,cause_id,location_id,measure_id,metric_id,sex_id,year_id,acause,age_group_name,cause_name,expected,location_name,location_type,measure,measure_name,metric_name,sex,val,upper,lower,age_group_alternative_name,age_midpoint,age_group_years_end,age_group_name_plot
1,477,1,1,1,1,2023,neo_brain,Under 5,Brain and central nervous system cancer,FALSE,Global,global,death,Deaths,Number,Male,3689.10958915699,5063.1442006868,2732.14825501178,0-4 years,2,4,0-4
1,477,1,1,1,2,2023,neo_brain,Under 5,Brain and central nervous system cancer,FALSE,Global,global,death,Deaths,Number,Female,2913.12963980147,4186.26589008181,2034.33701827621,0-4 years,2,4,0-4
1,477,1,1,3,1,2023,neo_brain,Under 5,Brain and central nervous system cancer,FALSE,Global,global,death,Deaths,Rate,Male,1.11347981982359e-05,1.528203149316e-05,8.24641251011743e-06,0-4 years,2,4,0-4
1,477,1,1,3,2,2023,neo_brain,Under 5,Brain and central nervous system cancer,FALSE,Global,global,death,Deaths,Rate,Female,9.34517461611329e-06,1.34293322198183e-05,6.52605170881101e-06,0-4 years,2,4,0-4
1,477,1,6,1,1,2023,neo_brain,Under 5,Brain and central nervous system cancer,FALSE,Global,global,incidence,Incidence,Number,Male,8008.12674969569,11421.476963865,5982.8608774211,0-4 years,2,4,0-4
1,477,1,6,1,2,2023,neo_brain,Under 5,Brain and central nervous system cancer,FALSE,Global,global,incidence,Incidence,Number,Female,6643.95256120837,9418.75456383881,4332.65163269554,0-4 years,2,4,0-4
1,477,1,6,3,1,2023,neo_brain,Under 5,Brain and central nervous system cancer,FALSE,Global,global,incidence,Incidence,Rate,Male,2.41708393716035e-05,3.44733161335815e-05,1.80580020485179e-05,0-4 years,2,4,0-4
1,477,1,6,3,2,2023,neo_brain,Under 5,Brain and central nervous system cancer,FALSE,Global,global,incidence,Incidence,Rate,Female,2.13134685038928e-05,3.02148949579141e-05,1.38989303823387e-05,0-4 years,2,4,0-4
6,477,1,1,1,1,2023,neo_brain,5 to 9,Brain and central nervous system cancer,FALSE,Global,global,death,Deaths,Number,Male,3780.51798622489,5140.02840355004,2808.66718733731,5-9 years,7.5,10,5-9
6,477,1,1,1,2,2023,neo_brain,5 to 9,Brain and central nervous system cancer,FALSE,Global,global,death,Deaths,Number,Female,3203.86012511264,4443.47048298774,2453.06275054725,5-9 years,7.5,10,5-9
6,477,1,1,3,1,2023,neo_brain,5 to 9,Brain and central nervous system cancer,FALSE,Global,global,death,Deaths,Rate,Male,1.04705862826163e-05,1.423590923005e-05,7.77893194300996e-06,5-9 years,7.5,10,5-9
6,477,1,1,3,2,2023,neo_brain,5 to 9,Brain and central nervous system cancer,FALSE,Global,global,death,Deaths,Rate,Female,9.43747236350402e-06,1.30889390434198e-05,7.2258809717596e-06,5-9 years,7.5,10,5-9
6,477,1,6,1,1,2023,neo_brain,5 to 9,Brain and central nervous system cancer,FALSE,Global,global,incidence,Incidence,Number,Male,7240.90174407043,10037.9416583794,5457.71296758673,5-9 years,7.5,10,5-9
6,477,1,6,1,2,2023,neo_brain,5 to 9,Brain and central nervous system cancer,FALSE,Global,global,incidence,Incidence,Number,Female,6481.21104762271,9465.05063857127,4609.19823586209,5-9 years,7.5,10,5-9
6,477,1,6,3,1,2023,neo_brain,5 to 9,Brain and central nervous system cancer,FALSE,Global,global,incidence,Incidence,Rate,Male,2.00545234149102e-05,2.78012522667252e-05,1.5115773748754e-05,5-9 years,7.5,10,5-9
6,477,1,6,3,2,2023,neo_brain,5 to 9,Brain and central nervous system cancer,FALSE,Global,global,incidence,Incidence,Rate,Female,1.90914233940927e-05,2.78807907750161e-05,1.35771161256082e-05,5-9 years,7.5,10,5-9
7,477,1,1,1,1,2023,neo_brain,10 to 14,Brain and central nervous system cancer,FALSE,Global,global,death,Deaths,Number,Male,3071.5130389381,4120.30963903282,2314.64311573206,10-14 years,12.5,15,10-14
