Location Name,Incident cases in 2023 (thousands),"% change, cases, 1990 to 2023",Age-standardised incidence rate in 2023,"% change, age-standardised incidence rate, 1990 to 2023",Deaths in 2023 (thousands),"% change, deaths, 1990 to 2023",Age-standardised death rate in 2023,"% change, age-standardised death rate, 1990 to 2023"
Tropical Latin America,"15.4
(13.5 to 17.6)","163.6
(119.1 to 216.5)","6.2
(5.4 to 7.1)","30.5
(9.2 to 56.9)","12.3
(11.2 to 13.4)","187.9
(150.7 to 228.9)","4.8
(4.4 to 5.2)","29.0
(12.3 to 46.8)"
North Africa and Middle East,"38.6
(28.7 to 51.0)","151.9
(88.2 to 242.2)","6.9
(5.2 to 9.3)","14.9
(-13.6 to 58.2)","26.3
(20.6 to 34.3)","142.5
(87.9 to 226.0)","5.0
(4.0 to 6.6)","4.4
(-18.3 to 44.8)"
North Africa and Middle East,"38.6
(28.7 to 51.0)","151.9
(88.2 to 242.2)","6.9
(5.2 to 9.3)","14.9
(-13.6 to 58.2)","26.3
(20.6 to 34.3)","142.5
(87.9 to 226.0)","5.0
(4.0 to 6.6)","4.4
(-18.3 to 44.8)"
South Asia,"35.5
(26.4 to 48.1)","98.7
(35.4 to 172.3)","2.0
(1.5 to 2.7)","6.1
(-27.9 to 45.8)","26.9
(20.8 to 36.8)","102.6
(40.0 to 160.2)","1.6
(1.2 to 2.1)","2.2
(-29.7 to 31.9)"
South Asia,"35.5
(26.4 to 48.1)","98.7
(35.4 to 172.3)","2.0
(1.5 to 2.7)","6.1
(-27.9 to 45.8)","26.9
(20.8 to 36.8)","102.6
(40.0 to 160.2)","1.6
(1.2 to 2.1)","2.2
(-29.7 to 31.9)"
"Southeast Asia, East Asia, and Oceania","115
(90.3 to 160)","74.6
(35.0 to 135.4)","4.4
(3.4 to 6.1)","-2.1
(-23.5 to 31.3)","80.0
(63.8 to 107)","65.1
(35.1 to 99.6)","2.9
(2.3 to 3.8)","-18.8
(-33.0 to -3.6)"
East Asia,"95.9
(73.3 to 133)","68.0
(28.5 to 133.0)","5.2
(3.9 to 7.3)","-1.1
(-25.7 to 39.9)","64.4
(50.7 to 85.1)","54.8
(26.2 to 87.2)","3.1
(2.5 to 4.2)","-22.9
(-36.6 to -7.4)"
Oceania,"0.114
(0.0722 to 0.160)","140.2
(73.8 to 225.3)","0.9
(0.6 to 1.2)","1.1
(-26.0 to 36.9)","0.0828
(0.0514 to 0.114)","141.8
(80.5 to 219.8)","0.7
(0.4 to 1.0)","-1.1
(-25.7 to 32.2)"
Southeast Asia,"19.4
(14.6 to 26.4)","116.1
(55.8 to 174.4)","2.7
(2.0 to 3.7)","11.4
(-18.8 to 37.7)","15.6
(12.3 to 21.8)","127.3
(68.8 to 176.7)","2.2
(1.7 to 3.0)","7.6
(-18.2 to 30.4)"
Sub-Saharan Africa,"14.6
(10.8 to 20.2)","137.1
(71.1 to 214.9)","1.4
(1.0 to 1.9)","3.2
(-25.5 to 34.3)","10.2
(7.45 to 13.3)","133.7
(69.0 to 207.0)","1.1
(0.8 to 1.4)","2.1
(-24.2 to 32.5)"
Central Sub-Saharan Africa,"1.30
(0.894 to 1.80)","201.1
(116.1 to 300.6)","1.2
(0.8 to 1.7)","19.6
(-13.5 to 59.2)","0.979
(0.662 to 1.32)","200.9
(121.2 to 297.7)","1.0
(0.7 to 1.4)","19.1
(-12.7 to 57.8)"
Eastern Sub-Saharan Africa,"6.83
(4.97 to 9.35)","119.0
(54.3 to 195.4)","1.7
(1.3 to 2.3)","-2.4
(-31.1 to 28.4)","4.72
(3.44 to 6.21)","114.1
(48.8 to 180.4)","1.3
(0.9 to 1.7)","-4.5
(-32.1 to 23.2)"
Southern Sub-Saharan Africa,"1.41
(1.05 to 1.85)","145.0
(78.0 to 229.3)","1.8
(1.3 to 2.3)","26.5
(-8.1 to 69.5)","1.10
(0.797 to 1.44)","156.7
(87.8 to 239.2)","1.4
(1.0 to 1.9)","26.5
(-7.4 to 67.1)"
Western Sub-Saharan Africa,"5.09
(3.61 to 7.23)","149.0
(77.6 to 228.8)","1.0
(0.7 to 1.4)","-0.2
(-27.6 to 29.7)","3.37
(2.46 to 4.53)","141.9
(75.9 to 217.3)","0.7
(0.5 to 1.0)","-2.2
(-28.0 to 27.7)"
