location_id,age_group_id,cause_id,measure_id,metric_id,sex_id,year_id,acause,age_group_name,cause_name,expected,location_name,location_type,measure,measure_name,metric_name,sex,val,upper,lower,is_estimate
1,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Global,global,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.00108013026202695,0.00129920321645647,0.000946552258789557,0
4,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,"Southeast Asia, East Asia, and Oceania",superregion,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.00106918672145986,0.00142980201106582,0.000866228709732488,0
5,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,East Asia,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.00119160122016984,0.00161483380025707,0.0009802604488446,0
6,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,China,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.00119655238788872,0.00162926848012589,0.000982762611543803,0
7,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Democratic People's Republic of Korea,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.00115201167300723,0.00158570107133118,0.000813391020756335,1
8,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Taiwan,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000876597800728773,0.00095523855713252,0.000793594844549244,1
9,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Southeast Asia,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.00083151339416697,0.00113247299614904,0.000634832331612065,0
10,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Cambodia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.00078285463677854,0.00104608527546926,0.000567176089068377,1
11,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Indonesia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000879857332921044,0.00119534891131729,0.000629713126746105,0
12,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Lao People's Democratic Republic,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000790222331502321,0.00103517428272678,0.000552555602332672,1
13,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Malaysia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000417940857978209,0.000545080092867758,0.000296337010742415,1
14,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Maldives,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000510795469917053,0.000724113208301967,0.00039836848917536,1
15,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Myanmar,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000842649638079291,0.00111774717034987,0.000622301617333624,1
16,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Philippines,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000760090659845646,0.00101121824198457,0.000585993636135727,0
17,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Sri Lanka,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000894078719950809,0.00109960777813841,0.000629472382922472,1
18,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Thailand,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.00117407130837771,0.00191973115950274,0.000905185196739869,1
19,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Timor-Leste,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000843992842449844,0.00115284960852874,0.000602089403080981,1
20,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Viet Nam,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000632149785159538,0.000840714363065501,0.000475225218955413,1
21,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Oceania,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000315318201400036,0.000436961905510179,0.000195403911522045,0
22,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Fiji,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000428656992153094,0.00058135550682594,0.000303356678872523,1
23,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Kiribati,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000215756819574846,0.000334212970180202,8.07978898825491e-05,1
24,27,477,2,3,3,2023,neo_brain,Age-standardized,Brain and central nervous system cancer,FALSE,Marshall Islands,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Both,0.000348936134420268,0.000467091647186014,0.00022609398821593,1
